Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min,MSE,MSE_moving_bkgrnd
20200820,clip_17_0755,5,2020-08-20 07:55:00,19.2,86,0.0,16.9,121,2.7,107,0.0,0.00016112580487970263,0.0001075241
20200820,clip_12_0535,115,2020-08-20 05:35:00,16.0,100,0.0,16.0,103,1.7,56,0.0,0.0003974605642724782,0.00033500587
20200820,clip_33_1450,26,2020-08-20 14:50:00,18.1,94,0.0,17.0,139,3.5,86,0.0,0.0002987998304888606,8.568695e-05
20200821,clip_0_0000,5,2020-08-21 00:00:00,16.5,99,0.0,16.4,137,1.2,0,0.0,0.0003391634672880173,2.0648162e-05
20200821,clip_34_1539,115,2020-08-21 15:39:00,25.7,38,0.0,10.2,212,6.9,426,9.5,0.0008126567117869854,0.0003658773
20200821,clip_53_2351,115,2020-08-21 23:51:00,16.9,83,0.0,14.0,170,3.3,0,0.0,0.0003421784786041826,0.00018852399
20200821,clip_24_1059,115,2020-08-21 10:59:00,19.5,92,0.0,18.2,139,5.7,98,0.0,0.00014947833551559597,8.8041474e-05
20200821,clip_39_1740,115,2020-08-21 17:40:00,21.9,58,0.0,13.3,214,4.0,49,0.0,0.0011996227549389005,0.00067552895
20200822,clip_0_0000,5,2020-08-22 00:00:00,16.8,84,0.0,14.0,172,3.2,0,0.0,0.00037227789289318025,0.00014584509
20200822,clip_53_2344,115,2020-08-22 23:44:00,13.9,94,0.0,12.9,201,3.2,0,0.0,0.00014941080007702112,9.612558e-05
20200822,clip_33_1443,115,2020-08-22 14:43:00,20.9,61,0.0,13.0,232,4.8,553,9.5,0.0022342633455991745,0.00063372176
20200822,clip_34_1511,115,2020-08-22 15:11:00,17.0,79,0.0,13.4,245,7.1,59,0.0,0.0011822034139186144,0.0005307678
20200823,clip_0_0000,5,2020-08-23 00:00:00,13.8,94,0.0,12.9,199,3.4,0,0.0,0.0010746376356109977,0.00041091506
20200823,clip_33_1433,115,2020-08-23 14:33:00,18.8,62,0.0,11.4,276,5.1,618,10.0,0.0005495453369803727,0.00037381114
20200823,clip_51_2240,115,2020-08-23 22:40:00,12.6,86,0.0,10.3,264,2.4,0,0.0,0.001331872190348804,0.001209632
20200823,clip_39_1721,115,2020-08-23 17:21:00,15.6,76,0.0,11.4,268,4.5,169,10.0,0.0022640256211161613,0.0014794602
20200824,clip_0_0000,5,2020-08-24 00:00:00,13.3,63,0.0,6.4,285,3.9,0,0.0,0.00015953111869748682,0.00014530715
20200824,clip_45_1938,115,2020-08-24 19:38:00,11.8,77,0.0,7.8,239,1.5,0,0.0,0.0012016462860628963,0.00052541436
20200824,clip_27_1142,115,2020-08-24 11:42:00,17.0,47,0.0,5.8,299,4.0,830,9.0,0.00021230241691228002,0.0001549917
20200824,clip_11_0442,115,2020-08-24 04:42:00,10.5,75,0.0,6.2,260,1.5,18,0.0,0.00032725505298003554,0.00023445762
20200825,clip_0_1216,5,2020-08-25 12:16:00,17.0,54,0.0,7.6,268,3.0,810,10.0,0.0007131320307962596,0.00023647933
20200825,clip_25_2345,115,2020-08-25 23:45:00,14.1,87,0.2,11.9,121,4.6,0,0.0,0.00016065739328041673,0.00014155745
20200825,clip_12_1748,5,2020-08-25 17:48:00,15.2,52,0.0,5.5,119,1.5,21,0.0,0.0011781903449445963,0.0004192504
20200825,clip_9_1628,115,2020-08-25 16:28:00,17.1,44,0.0,4.7,177,2.5,162,1.0,0.0007666620658710599,0.00053230225
20200826,clip_0_0000,5,2020-08-26 00:00:00,13.9,91,0.5,12.5,117,3.3,0,0.0,0.00022030061518307775,0.00017878163
20200826,clip_51_2336,115,2020-08-26 23:36:00,13.0,90,0.1,11.4,334,1.6,0,0.0,3.110519173787907e-05,1.714278e-05
20200826,clip_20_0920,115,2020-08-26 09:20:00,19.3,82,0.0,16.1,27,2.0,623,7.0,0.0003002225130330771,0.00020355755
20200826,clip_32_1452,5,2020-08-26 14:52:00,15.6,88,0.0,13.7,13,2.6,62,0.0,0.0005178945721127093,0.00025707803
20200827,clip_0_0000,5,2020-08-27 00:00:00,12.8,94,0.0,11.8,333,1.5,0,0.0,9.429281635675579e-05,5.632988e-05
20200827,clip_53_2349,115,2020-08-27 23:49:00,11.6,94,0.0,10.7,0,0.0,0,0.0,0.0001295810070587322,8.099391e-05
20200827,clip_31_1404,115,2020-08-27 14:04:00,18.7,64,0.0,11.6,280,2.5,549,6.0,0.00033286301186308265,0.00013725186
20200827,clip_40_1759,62,2020-08-27 17:59:00,15.0,74,0.0,10.4,296,1.5,41,9.5,0.0016934082377701998,0.0005707668
20200828,clip_0_0000,5,2020-08-28 00:00:00,11.5,95,0.0,10.7,0,0.0,0,0.0,0.00014243423356674612,0.00010579108
20200828,clip_53_2347,115,2020-08-28 23:47:00,12.8,98,0.2,12.5,77,1.5,0,0.0,6.747170118615031e-05,5.7542056e-05
20200828,clip_24_1047,5,2020-08-28 10:47:00,16.8,80,0.0,13.3,87,2.0,603,9.5,0.0002149224455934018,9.948072e-05
20200828,clip_17_0731,115,2020-08-28 07:31:00,13.7,95,0.0,12.8,0,0.0,138,0.0,0.0003220069920644164,0.00019822498
20200829,clip_0_0000,5,2020-08-29 00:00:00,12.9,98,0.0,12.7,75,0.7,0,0.0,0.00013290345668792725,9.851967e-05
20200829,clip_52_2334,115,2020-08-29 23:34:00,10.3,97,0.0,9.8,353,1.1,0,0.0,0.0005534074734896421,0.00040236025
20200829,clip_38_1707,115,2020-08-29 17:07:00,16.6,79,0.0,13.0,17,1.5,182,10.0,0.002773360814899206,0.0018610188
20200829,clip_42_1859,5,2020-08-29 18:59:00,13.2,88,0.0,11.3,353,0.7,0,0.0,0.0013219255488365889,0.00047486194
20200830,clip_0_0000,5,2020-08-30 00:00:00,9.8,97,0.0,9.4,334,1.0,0,0.0,0.0003868632484227419,0.00019743934
20200830,clip_52_2346,115,2020-08-30 23:46:00,7.3,98,0.0,7.0,0,0.0,0,0.0,3.217934136046097e-05,1.7566297e-05
20200830,clip_33_1500,115,2020-08-30 15:00:00,19.0,63,0.0,11.8,312,2.8,474,10.0,0.00079887337051332,0.0005587442
20200830,clip_16_0728,12,2020-08-30 07:28:00,14.6,87,0.0,12.5,303,0.4,248,2.5,0.000316956196911633,0.00017481961
20200831,clip_0_0000,5,2020-08-31 00:00:00,7.6,98,0.0,7.3,0,0.0,0,0.0,0.00012097458238713443,8.6358545e-05
20200831,clip_35_1538,115,2020-08-31 15:38:00,18.8,41,0.0,5.1,337,2.4,373,10.0,0.0005782758235000074,0.00034288527
20200831,clip_53_2348,115,2020-08-31 23:48:00,6.0,96,0.0,5.5,0,0.0,0,0.0,5.1982518925797194e-05,1.7734197e-05
20200831,clip_16_0724,110,2020-08-31 07:24:00,13.4,89,0.0,11.7,46,1.0,362,10.0,0.0005852207541465759,0.00025333796
